year,date,tourney_name,tourney_id,surface,indoor,commitment,draw_size,round,winner_id,winner_seed,winner_rank,winner_age,winner_ioc,winner_name,winner_hand,score,loser_id,loser_seed,loser_rank,loser_age,loser_ioc,loser_name,loser_hand,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,minutes
2019,20190701,Wimbledon,2019_540,Grass,Outdoor,£17769000,128,R128,V306,,37,35.624914,ESP,Fernando Verdasco,L,6-4 6-4 6-4,MQ75,Q,108,23.463381,POL,Kamil Majchrzak,R,,,,,,,,,,,,,,,,,,,
2019,20190701,Wimbledon,2019_540,Grass,Outdoor,£17769000,128,R128,T786,,72,34.20397,FRA,Jo-Wilfried Tsonga,R,6-2 6-1 6-4,TA46,,96,26.691307,AUS,Bernard Tomic,R,,,,,,,,,,,,,,,,,,,
2019,20190701,Wimbledon,2019_540,Grass,Outdoor,£17769000,128,R128,T742,PR,288,35.022587,SRB,Janko Tipsarevic,R,6-4 6-7(2) 6-2 5-7 6-2,N732,,68,23.759069,JPN,Yoshihito Nishioka,L,,,,,,,,,,,,,,,,,,,
2019,20190701,Wimbledon,2019_540,Grass,Outdoor,£17769000,128,R128,SH90,,69,30.253251,POR,Joao Sousa,R,6-0 6-3 6-7(8) 6-1,J0A4,WC,431,19.665982,GBR,Paul Jubb,R,,,,,,,,,,,,,,,,,,,
2019,20190701,Wimbledon,2019_540,Grass,Outdoor,£17769000,128,R128,SA93,,73,35.356605,ITA,Andreas Seppi,R,6-3 6-7(8) 6-1 6-2,J551,,53,23.720739,CHI,Nicolas Jarry,R,,,,,,,,,,,,,,,,,,,
2019,20190701,Wimbledon,2019_540,Grass,Outdoor,£17769000,128,R128,SL08,,94,27.942505,USA,Tennys Sandgren,R,3-6 6-2 6-4 6-3,U134,Q,180,26.902122,JPN,Yasutaka Uchiyama,R,,,,,,,,,,,,,,,,,,,
2019,20190701,Wimbledon,2019_540,Grass,Outdoor,£17769000,128,R128,RE44,,79,21.69473,RUS,Andrey Rublev,R,4-6 6-4 7-5 6-4,GD64,,34,23.085558,CHI,Cristian Garin,R,,,,,,,,,,,,,,,,,,,
2019,20190701,Wimbledon,2019_540,Grass,Outdoor,£17769000,128,R128,P09Z,Q,101,19.904175,AUS,Alexei Popyrin,R,7-6(2) 7-5 6-2,CD85,,50,27.969884,ESP,Pablo Carreno Busta,R,,,,,,,,,,,,,,,,,,,
2019,20190701,Wimbledon,2019_540,Grass,Outdoor,£17769000,128,R128,O522,,63,21.839836,USA,Reilly Opelka,R,6-3 7-6(4) 6-1,SK94,PR,518,28.72553,GER,Cedrik-Marcel Stebe,L,,,,,,,,,,,,,,,,,,,
2019,20190701,Wimbledon,2019_540,Grass,Outdoor,£17769000,128,R128,N771,,55,23.854894,GBR,Cameron Norrie,L,6-2 6-4 6-4,I165,,115,32.813142,UZB,Denis Istomin,R,,,,,,,,,,,,,,,,,,,
2019,20190701,Wimbledon,2019_540,Grass,Outdoor,£17769000,128,R128,MW02,Q,84,20.199863,FRA,Corentin Moutet,L,2-6 3-6 7-6(4) 6-3 6-1,D875,,49,28.125941,BUL,Grigor Dimitrov,R,,,,,,,,,,,,,,,,,,,
2019,20190701,Wimbledon,2019_540,Grass,Outdoor,£17769000,128,R128,MH30,,64,30.045175,AUS,John Millman,R,6-2 6-3 6-4,DA31,,83,26.039699,BOL,Hugo Dellien,R,,,,,,,,,,,,,,,,,,,
2019,20190701,Wimbledon,2019_540,Grass,Outdoor,£17769000,128,R128,MD56,,59,32.128679,ARG,Leonardo Mayer,R,6-1 7-6(12) 6-2,G858,,92,30.833676,LAT,Ernests Gulbis,R,,,,,,,,,,,,,,,,,,,
2019,20190701,Wimbledon,2019_540,Grass,Outdoor,£17769000,128,R128,L397,WC,54,37.776865,ESP,Feliciano Lopez,L,6-4 6-2 6-4,GC88,Q,155,25.935661,USA,Marcos Giron,R,,,,,,,,,,,,,,,,,,,
