Ranking,Player,Age,Points,Tourn_Played,Points_Dropping,Next_Best
1,Jim Courier,22,0,0,0,0
2,Pete Sampras,21,0,0,0,0
3,Stefan Edberg,27,0,0,0,0
4,Boris Becker,25,0,0,0,0
5,Petr Korda,25,0,0,0,0
6,Goran Ivanisevic,21,0,0,0,0
7,Andre Agassi,22,0,0,0,0
8,Michael Chang,21,0,0,0,0
9,Ivan Lendl,33,0,0,0,0
10,Michael Stich,24,0,0,0,0
11,Richard Krajicek,21,0,0,0,0
12,MaliVai Washington,23,0,0,0,0
13,Karel Novacek,28,0,0,0,0
14,Wayne Ferreira,21,0,0,0,0
15,Thomas Muster,25,0,0,0,0
16,Guy Forget,28,0,0,0,0
17,Sergi Bruguera,22,0,0,0,0
18,Carlos Costa,24,0,0,0,0
19,Andrei Medvedev,18,0,0,0,0
20,Alexander Volkov,26,0,0,0,0
21,Henrik Holm,24,0,0,0,0
22,Mark Woodforde,27,0,0,0,0
23,Arnaud Boetsch,24,0,0,0,0
24,Fabrice Santoro,20,0,0,0,0
25,Marc Rosset,22,0,0,0,0
26,Wally Masur,29,0,0,0,0
27,Amos Mansdorf,27,0,0,0,0
28,Cedric Pioline,23,0,0,0,0
29,Marcos Ondruska,20,0,0,0,0
30,Magnus Larsson,23,0,0,0,0
31,Carl-Uwe Steeb,25,0,0,0,0
32,Brad Gilbert,31,0,0,0,0
33,Emilio Sanchez,27,0,0,0,0
34,Francisco Clavet,24,0,0,0,0
35,Nicklas Kulti,21,0,0,0,0
36,Jaime Oncins,22,0,0,0,0
37,Javier Sanchez,25,0,0,0,0
38,John McEnroe,34,0,0,0,0
39,Magnus Gustafsson,26,0,0,0,0
40,Jakob Hlasek,28,0,0,0,0
41,Alberto Mancini,23,0,0,0,0
42,Jordi Arrese,28,0,0,0,0
43,Brett Steven,23,0,0,0,0
44,Todd Martin,22,0,0,0,0
45,Aaron Krickstein,25,0,0,0,0
46,Richey Reneberg,27,0,0,0,0
47,David Wheaton,23,0,0,0,0
48,Jan Siemerink,22,0,0,0,0
49,Gabriel Markus,23,0,0,0,0
50,Renzo Furlan,22,0,0,0,0
51,Christian Bergstrom,25,0,0,0,0
52,Bernd Karbacher,25,0,0,0,0
53,Jim Grabb,28,0,0,0,0
54,Guillaume Raoux,23,0,0,0,0
55,Kenneth Carlsen,19,0,0,0,0
56,Jonas Svensson,26,0,0,0,0
57,Franco Davin,23,0,0,0,0
58,Andrei Chesnokov,27,0,0,0,0
