Ranking,Player,Age,Points,Tourn_Played,Points_Dropping,Next_Best
1,Jim Courier,22,0,0,0,0
2,Pete Sampras,21,0,0,0,0
3,Stefan Edberg,27,0,0,0,0
4,Boris Becker,25,0,0,0,0
5,Petr Korda,25,0,0,0,0
6,Goran Ivanisevic,21,0,0,0,0
7,Michael Chang,21,0,0,0,0
8,Andre Agassi,22,0,0,0,0
9,Ivan Lendl,33,0,0,0,0
10,Michael Stich,24,0,0,0,0
11,Richard Krajicek,21,0,0,0,0
12,Carlos Costa,24,0,0,0,0
13,Wayne Ferreira,21,0,0,0,0
14,Thomas Muster,25,0,0,0,0
15,Sergi Bruguera,22,0,0,0,0
16,Guy Forget,28,0,0,0,0
17,Karel Novacek,27,0,0,0,0
18,MaliVai Washington,23,0,0,0,0
19,Alexander Volkov,26,0,0,0,0
20,Henrik Holm,24,0,0,0,0
21,Andrei Medvedev,18,0,0,0,0
22,Mark Woodforde,27,0,0,0,0
23,Arnaud Boetsch,23,0,0,0,0
24,Wally Masur,29,0,0,0,0
25,Fabrice Santoro,20,0,0,0,0
26,Marc Rosset,22,0,0,0,0
27,Alberto Mancini,23,0,0,0,0
28,Cedric Pioline,23,0,0,0,0
29,Carl-Uwe Steeb,25,0,0,0,0
30,Brad Gilbert,31,0,0,0,0
31,Magnus Larsson,22,0,0,0,0
32,Emilio Sanchez,27,0,0,0,0
33,Jakob Hlasek,28,0,0,0,0
34,Jordi Arrese,28,0,0,0,0
35,John McEnroe,34,0,0,0,0
36,Francisco Clavet,24,0,0,0,0
37,Amos Mansdorf,27,0,0,0,0
38,Nicklas Kulti,21,0,0,0,0
39,Jaime Oncins,22,0,0,0,0
40,Javier Sanchez,25,0,0,0,0
41,Andrei Cherkasov,22,0,0,0,0
42,Franco Davin,23,0,0,0,0
43,Brett Steven,23,0,0,0,0
44,Guillermo Perez-Roldan,23,0,0,0,0
45,Todd Martin,22,0,0,0,0
46,Richey Reneberg,27,0,0,0,0
47,Aaron Krickstein,25,0,0,0,0
48,Marcos Ondruska,20,0,0,0,0
49,David Wheaton,23,0,0,0,0
50,Jan Siemerink,22,0,0,0,0
51,Kenneth Carlsen,19,0,0,0,0
52,Christian Bergstrom,25,0,0,0,0
53,Bernd Karbacher,24,0,0,0,0
54,Renzo Furlan,22,0,0,0,0
55,Marcelo Filippini,25,0,0,0,0
56,Paul Haarhuis,27,0,0,0,0
57,Jaime Yzaga,25,0,0,0,0
58,Gabriel Markus,22,0,0,0,0
