Ranking,Player,Age,Points,Tourn_Played,Points_Dropping,Next_Best
1,Pete Sampras,22,0,0,0,0
2,Michael Stich,25,0,0,0,0
3,Stefan Edberg,28,0,0,0,0
4,Jim Courier,23,0,0,0,0
5,Goran Ivanisevic,22,0,0,0,0
6,Sergi Bruguera,23,0,0,0,0
7,Michael Chang,22,0,0,0,0
8,Andrei Medvedev,19,0,0,0,0
9,Todd Martin,23,0,0,0,0
10,Magnus Gustafsson,27,0,0,0,0
11,Thomas Muster,26,0,0,0,0
12,Boris Becker,26,0,0,0,0
13,Petr Korda,26,0,0,0,0
14,Cedric Pioline,24,0,0,0,0
15,Carlos Costa,26,0,0,0,0
16,Marc Rosset,23,0,0,0,0
17,Arnaud Boetsch,25,0,0,0,0
18,Richard Krajicek,22,0,0,0,0
19,Wayne Ferreira,22,0,0,0,0
20,Andre Agassi,23,0,0,0,0
21,Alexander Volkov,27,0,0,0,0
22,Ivan Lendl,34,0,0,0,0
23,Paul Haarhuis,28,0,0,0,0
24,Alberto Berasategui,20,0,0,0,0
25,Patrick Rafter,21,0,0,0,0
26,Andrei Chesnokov,28,0,0,0,0
27,Yevgeny Kafelnikov,20,0,0,0,0
28,Jaime Yzaga,26,0,0,0,0
29,Aaron Krickstein,26,0,0,0,0
30,Ronald Agenor,29,0,0,0,0
31,MaliVai Washington,24,0,0,0,0
32,Brad Gilbert,32,0,0,0,0
33,Javier Sanchez,26,0,0,0,0
34,Wally Masur,30,0,0,0,0
35,Jason Stoltenberg,24,0,0,0,0
36,Karel Novacek,29,0,0,0,0
37,Richey Reneberg,28,0,0,0,0
38,Henrik Holm,25,0,0,0,0
39,Renzo Furlan,23,0,0,0,0
40,Mikael Pernfors,30,0,0,0,0
41,Andrei Cherkasov,23,0,0,0,0
42,Jonathan Stark,23,0,0,0,0
43,Andrea Gaudenzi,20,0,0,0,0
44,Marc-Kevin Goellner,23,0,0,0,0
45,Karsten Braasch,26,0,0,0,0
46,David Rikl,23,0,0,0,0
47,Alex Corretja,20,0,0,0,0
48,Jordi Arrese,29,0,0,0,0
49,Magnus Larsson,24,0,0,0,0
50,Slava Dosedel,23,0,0,0,0
51,Patrick McEnroe,27,0,0,0,0
52,Emilio Sanchez,28,0,0,0,0
53,Jordi Burillo,21,0,0,0,0
54,Younes El Aynaoui,22,0,0,0,0
55,Henri Leconte,30,0,0,0,0
56,Greg Rusedski,20,0,0,0,0
57,Amos Mansdorf,28,0,0,0,0
58,Jonas Svensson,27,0,0,0,0
59,Richard Fromberg,23,0,0,0,0
60,Daniel Vacek,23,0,0,0,0
61,Luiz Mattar,30,0,0,0,0
62,Thomas Enqvist,20,0,0,0,0
63,Stefano Pescosolido,22,0,0,0,0
64,Gilbert Schaller,25,0,0,0,0
65,Tomas Carbonell,25,0,0,0,0
66,Jacco Eltingh,23,0,0,0,0
67,Jamie Morgan,22,0,0,0,0
68,Martin Damm,21,0,0,0,0
69,Bernd Karbacher,26,0,0,0,0
70,Jakob Hlasek,29,0,0,0,0
71,Mark Woodforde,28,0,0,0,0
72,Nicklas Kulti,23,0,0,0,0
73,Byron Black,24,0,0,0,0
74,Jean-Philippe Fleurian,28,0,0,0,0
75,Brett Steven,24,0,0,0,0
76,Alex Antonitsch,28,0,0,0,0
77,Marcelo Filippini,26,0,0,0,0
78,David Wheaton,24,0,0,0,0
79,Franco Davin,24,0,0,0,0
80,Jan Siemerink,24,0,0,0,0
81,Olivier Delaitre,26,0,0,0,0
82,Rodolphe Gilbert,25,0,0,0,0
83,Grant Stafford,22,0,0,0,0
84,Jared Palmer,22,0,0,0,0
85,Gabriel Markus,24,0,0,0,0
86,Chuck Adams,23,0,0,0,0
87,Steve Bryan,23,0,0,0,0
88,Jonas Bjorkman,22,0,0,0,0
89,Joern Renzenbrink,21,0,0,0,0
90,Andrei Olhovskiy,28,0,0,0,0
91,Hendrik Dreekmann,19,0,0,0,0
92,Jeff Tarango,25,0,0,0,0
93,Guillaume Raoux,24,0,0,0,0
94,Maurice Ruah,23,0,0,0,0
95,Bryan Shelton,28,0,0,0,0
96,Jeremy Bates,31,0,0,0,0
97,Francisco Clavet,25,0,0,0,0
98,Carl-Uwe Steeb,26,0,0,0,0
99,Javier Frana,27,0,0,0,0
100,Markus Zoecke,25,0,0,0,0
101,Karol Kucera,20,0,0,0,0
102,Fernando Meligeni,23,0,0,0,0
103,Alex O'Brien,24,0,0,0,0
104,Mark Petchey,23,0,0,0,0
105,Gerard Solves,26,0,0,0,0
106,Lars Jonsson,23,0,0,0,0
107,Horacio De La Pena,27,0,0,0,0
108,Stephane Simian,26,0,0,0,0
109,Karim Alami,20,0,0,0,0
110,Albert Costa,18,0,0,0,0
111,Robbie Weiss,27,0,0,0,0
112,Christian Bergstrom,26,0,0,0,0
113,Marcos Ondruska,21,0,0,0,0
114,Kenneth Carlsen,21,0,0,0,0
115,David Prinosil,21,0,0,0,0
116,Shuzo Matsuoka,26,0,0,0,0
117,Guillermo Perez-Roldan,24,0,0,0,0
118,Xavier Daufresne,25,0,0,0,0
119,Nicolas Pereira,23,0,0,0,0
120,Horst Skoff,25,0,0,0,0
121,Dimitri Poliakov,26,0,0,0,0
122,Daniel Orsanic,25,0,0,0,0
123,Mauricio Hadad,22,0,0,0,0
124,Diego Nargiso,24,0,0,0,0
125,Alexander Mronz,29,0,0,0,0
126,Fabrice Santoro,21,0,0,0,0
127,Gianluca Pozzi,28,0,0,0,0
128,Patrik Kuhnen,28,0,0,0,0
129,Lionel Roux,21,0,0,0,0
130,Jose Francisco Altur,26,0,0,0,0
131,Tomas Nydahl,26,0,0,0,0
132,Doug Flach,23,0,0,0,0
133,Jan Apell,24,0,0,0,0
134,Sebastien Lareau,20,0,0,0,0
135,Cristiano Caratti,23,0,0,0,0
136,Jim Grabb,30,0,0,0,0
137,Jaime Oncins,23,0,0,0,0
138,Todd Woodbridge,23,0,0,0,0
139,Anders Jarryd,32,0,0,0,0
140,Sergio Cortes,26,0,0,0,0
141,Richard Matuszewski,29,0,0,0,0
142,Milen Velev,22,0,0,0,0
143,Brent Larkham,22,0,0,0,0
144,Dirk Dier,22,0,0,0,0
145,Chris Wilkinson,24,0,0,0,0
146,David Nainkin,23,0,0,0,0
147,Gilad Bloom,27,0,0,0,0
148,Christian Ruud,21,0,0,0,0
149,Neil Borwick,26,0,0,0,0
150,Simon Youl,28,0,0,0,0
151,Goran Prpic,29,0,0,0,0
152,Patricio Arnold,22,0,0,0,0
153,Michael Tebbutt,23,0,0,0,0
154,Thierry Guardiola,22,0,0,0,0
155,Jonathan Canter,28,0,0,0,0
156,Roberto Jabali,23,0,0,0,0
157,Luis Herrera,22,0,0,0,0
158,Christo Van Rensburg,31,0,0,0,0
159,Sandon Stolle,23,0,0,0,0
160,Fernon Wibier,23,0,0,0,0
161,Claudio Pistolesi,26,0,0,0,0
162,Michael Joyce,21,0,0,0,0
163,Kevin Ullyett,21,0,0,0,0
164,Mark Knowles,22,0,0,0,0
165,Mario Visconti,25,0,0,0,0
166,Albert Chang,23,0,0,0,0
167,Federico Sanchez,23,0,0,0,0
168,Tommy Ho,20,0,0,0,0
169,Oliver Gross,20,0,0,0,0
170,David Engel,26,0,0,0,0
171,Paolo Cane,29,0,0,0,0
172,Johan Van Herck,19,0,0,0,0
173,Thomas Gollwitzer,27,0,0,0,0
174,Eyal Ran,21,0,0,0,0
175,Daniel Nestor,21,0,0,0,0
176,Jimmy Arias,29,0,0,0,0
177,Lars Rehmann,18,0,0,0,0
178,Daniele Musa,21,0,0,0,0
179,Paul Kilderry,21,0,0,0,0
180,Oliver Fernandez,21,0,0,0,0
181,Tim Henman,19,0,0,0,0
182,Bart Wuyts,24,0,0,0,0
183,Chris Bailey,25,0,0,0,0
184,Gaston Etlis,19,0,0,0,0
185,David Witt,20,0,0,0,0
186,Martin Blackman,24,0,0,0,0
187,Massimo Valeri,22,0,0,0,0
188,Derrick Rostagno,28,0,0,0,0
189,Juan Gisbert Jr,20,0,0,0,0
190,Roger Smith,30,0,0,0,0
191,Emilio Benfele Alvarez,21,0,0,0,0
192,Louis Gloria,25,0,0,0,0
193,Danilo Marcelino,28,0,0,0,0
194,Joao Cunha-Silva,26,0,0,0,0
195,Lionel Barthez,26,0,0,0,0
196,Hernan Gumy,22,0,0,0,0
197,Michael Geserer,24,0,0,0,0
198,Markus Naewie,24,0,0,0,0
199,Davide Sanguinetti,21,0,0,0,0
200,Paul Wekesa,26,0,0,0,0
201,Laurence Tieleman,21,0,0,0,0
202,Nuno Marques,24,0,0,0,0
203,Mats Wilander,29,0,0,0,0
204,Peter Tramacchi,23,0,0,0,0
205,Alberto Mancini,24,0,0,0,0
206,Francisco Roig,26,0,0,0,0
207,Filip Dewulf,22,0,0,0,0
208,Christophe Van Garsse,19,0,0,0,0
209,David Adams,24,0,0,0,0
210,Jozsef Krocsko,26,0,0,0,0
211,Thierry Champion,27,0,0,0,0
212,Kenny Thorne,28,0,0,0,0
213,Christian Miniussi,26,0,0,0,0
214,Arne Thoms,23,0,0,0,0
215,Mark Kaplan,26,0,0,0,0
216,Sandor Noszaly,22,0,0,0,0
217,Marcos Aurelio Gorriz,30,0,0,0,0
218,Darren Cahill,28,0,0,0,0
219,Libor Nemecek,25,0,0,0,0
220,Alejo Mancisidor,23,0,0,0,0
221,Jose-Luis Noriega,24,0,0,0,0
222,Francisco Montana,24,0,0,0,0
223,Martin Stringari,22,0,0,0,0
224,Andrew Foster,22,0,0,0,0
225,Vincent Spadea,19,0,0,0,0
226,Oscar Martinez,20,0,0,0,0
227,Miguel Pastura,20,0,0,0,0
228,Frederic Fontang,24,0,0,0,0
229,Todd Nelson,33,0,0,0,0
230,Joshua Eagle,20,0,0,0,0
231,Mario Rincon,26,0,0,0,0
232,Alex Radulescu,19,0,0,0,0
233,Hicham Arazi,20,0,0,0,0
234,Patrick Baur,28,0,0,0,0
235,Brian MacPhie,21,0,0,0,0
