Ranking,Player,Age,Points,Tourn_Played,Points_Dropping,Next_Best
1,Pete Sampras,22,0,0,0,0
2,Michael Stich,25,0,0,0,0
3,Stefan Edberg,28,0,0,0,0
4,Jim Courier,23,0,0,0,0
5,Goran Ivanisevic,22,0,0,0,0
6,Sergi Bruguera,23,0,0,0,0
7,Michael Chang,22,0,0,0,0
8,Todd Martin,23,0,0,0,0
9,Andrei Medvedev,19,0,0,0,0
10,Cedric Pioline,24,0,0,0,0
11,Magnus Gustafsson,27,0,0,0,0
12,Thomas Muster,26,0,0,0,0
13,Boris Becker,26,0,0,0,0
14,Petr Korda,26,0,0,0,0
15,Carlos Costa,25,0,0,0,0
16,Marc Rosset,23,0,0,0,0
17,Arnaud Boetsch,25,0,0,0,0
18,Ivan Lendl,34,0,0,0,0
19,Richard Krajicek,22,0,0,0,0
20,Andre Agassi,23,0,0,0,0
21,Wayne Ferreira,22,0,0,0,0
22,Alexander Volkov,27,0,0,0,0
23,Paul Haarhuis,28,0,0,0,0
24,Jaime Yzaga,26,0,0,0,0
25,Andrei Chesnokov,28,0,0,0,0
26,Patrick Rafter,21,0,0,0,0
27,Marc-Kevin Goellner,23,0,0,0,0
28,Javier Sanchez,26,0,0,0,0
29,Aaron Krickstein,26,0,0,0,0
30,Ronald Agenor,29,0,0,0,0
31,MaliVai Washington,24,0,0,0,0
32,Mikael Pernfors,30,0,0,0,0
33,Wally Masur,30,0,0,0,0
34,Alberto Berasategui,20,0,0,0,0
35,Karel Novacek,29,0,0,0,0
36,Richey Reneberg,28,0,0,0,0
37,Brad Gilbert,32,0,0,0,0
38,Andrei Cherkasov,23,0,0,0,0
39,Henrik Holm,25,0,0,0,0
40,Renzo Furlan,23,0,0,0,0
41,Jonas Svensson,27,0,0,0,0
42,Yevgeny Kafelnikov,20,0,0,0,0
43,Jonathan Stark,23,0,0,0,0
44,Magnus Larsson,24,0,0,0,0
45,Karsten Braasch,26,0,0,0,0
46,Alex Corretja,20,0,0,0,0
47,Jason Stoltenberg,24,0,0,0,0
48,Patrick McEnroe,27,0,0,0,0
49,Amos Mansdorf,28,0,0,0,0
50,Emilio Sanchez,28,0,0,0,0
51,Henri Leconte,30,0,0,0,0
52,Jordi Burillo,21,0,0,0,0
53,Younes El Aynaoui,22,0,0,0,0
54,Andrea Gaudenzi,20,0,0,0,0
55,Richard Fromberg,23,0,0,0,0
56,Daniel Vacek,23,0,0,0,0
57,Luiz Mattar,30,0,0,0,0
58,Thomas Enqvist,20,0,0,0,0
59,David Rikl,23,0,0,0,0
60,Greg Rusedski,20,0,0,0,0
61,Jordi Arrese,29,0,0,0,0
62,Stefano Pescosolido,22,0,0,0,0
63,Gilbert Schaller,25,0,0,0,0
64,Jacco Eltingh,23,0,0,0,0
65,Tomas Carbonell,25,0,0,0,0
66,Franco Davin,24,0,0,0,0
67,Slava Dosedel,23,0,0,0,0
68,Jakob Hlasek,29,0,0,0,0
69,Chuck Adams,22,0,0,0,0
70,Brett Steven,24,0,0,0,0
71,Jamie Morgan,22,0,0,0,0
72,Alex Antonitsch,28,0,0,0,0
73,Nicklas Kulti,22,0,0,0,0
74,Byron Black,24,0,0,0,0
75,David Wheaton,24,0,0,0,0
76,Bernd Karbacher,26,0,0,0,0
77,Mark Woodforde,28,0,0,0,0
78,Horacio De La Pena,27,0,0,0,0
79,Jean-Philippe Fleurian,28,0,0,0,0
80,Martin Damm,21,0,0,0,0
81,Olivier Delaitre,26,0,0,0,0
82,Rodolphe Gilbert,25,0,0,0,0
83,Grant Stafford,22,0,0,0,0
84,Marcelo Filippini,26,0,0,0,0
85,Jonas Bjorkman,22,0,0,0,0
86,Hendrik Dreekmann,19,0,0,0,0
87,Javier Frana,27,0,0,0,0
88,Steve Bryan,23,0,0,0,0
89,Jan Siemerink,23,0,0,0,0
90,Andrei Olhovskiy,27,0,0,0,0
91,Bryan Shelton,28,0,0,0,0
92,Guillaume Raoux,24,0,0,0,0
93,Carl-Uwe Steeb,26,0,0,0,0
94,Fernando Meligeni,22,0,0,0,0
95,Jared Palmer,22,0,0,0,0
96,Francisco Clavet,25,0,0,0,0
97,Maurice Ruah,23,0,0,0,0
98,Markus Zoecke,25,0,0,0,0
99,Karol Kucera,20,0,0,0,0
100,Alex O'Brien,24,0,0,0,0
101,Guillermo Perez-Roldan,24,0,0,0,0
102,Stephane Simian,26,0,0,0,0
103,Jeff Tarango,25,0,0,0,0
104,Kenneth Carlsen,20,0,0,0,0
105,Mark Petchey,23,0,0,0,0
106,Lars Jonsson,23,0,0,0,0
107,Fabrice Santoro,21,0,0,0,0
108,Robbie Weiss,27,0,0,0,0
109,Christian Bergstrom,26,0,0,0,0
110,Marcos Ondruska,21,0,0,0,0
111,Xavier Daufresne,25,0,0,0,0
112,Todd Woodbridge,23,0,0,0,0
113,Karim Alami,20,0,0,0,0
114,Shuzo Matsuoka,26,0,0,0,0
115,Joern Renzenbrink,21,0,0,0,0
116,David Prinosil,21,0,0,0,0
117,Nicolas Pereira,23,0,0,0,0
118,Albert Costa,18,0,0,0,0
119,Gabriel Markus,24,0,0,0,0
120,Dimitri Poliakov,26,0,0,0,0
121,Mauricio Hadad,22,0,0,0,0
122,Diego Nargiso,24,0,0,0,0
123,Jeremy Bates,31,0,0,0,0
124,Alexander Mronz,29,0,0,0,0
125,Doug Flach,23,0,0,0,0
126,Lionel Roux,20,0,0,0,0
127,Gerard Solves,26,0,0,0,0
128,Tomas Nydahl,26,0,0,0,0
129,Gianluca Pozzi,28,0,0,0,0
130,Patrik Kuhnen,28,0,0,0,0
131,Daniel Orsanic,25,0,0,0,0
132,Jan Apell,24,0,0,0,0
133,Sebastien Lareau,20,0,0,0,0
134,Cristiano Caratti,23,0,0,0,0
135,Jose Francisco Altur,26,0,0,0,0
136,Jim Grabb,29,0,0,0,0
137,Horst Skoff,25,0,0,0,0
138,Jaime Oncins,23,0,0,0,0
139,Milen Velev,22,0,0,0,0
140,Anders Jarryd,32,0,0,0,0
141,Sergio Cortes,26,0,0,0,0
142,Dirk Dier,22,0,0,0,0
143,Federico Sanchez,23,0,0,0,0
144,Richard Matuszewski,29,0,0,0,0
145,Christo Van Rensburg,31,0,0,0,0
146,Chris Wilkinson,24,0,0,0,0
147,Neil Borwick,26,0,0,0,0
148,Brent Larkham,22,0,0,0,0
149,Goran Prpic,29,0,0,0,0
150,Patricio Arnold,22,0,0,0,0
151,Christian Ruud,21,0,0,0,0
152,Claudio Mezzadri,28,0,0,0,0
153,Michael Joyce,21,0,0,0,0
154,Simon Youl,28,0,0,0,0
155,Mark Knowles,22,0,0,0,0
156,Fernon Wibier,23,0,0,0,0
157,Daniele Musa,21,0,0,0,0
158,Derrick Rostagno,28,0,0,0,0
159,David Nainkin,23,0,0,0,0
160,Gilad Bloom,27,0,0,0,0
161,Tommy Ho,20,0,0,0,0
162,Jonathan Canter,28,0,0,0,0
163,Luis Herrera,22,0,0,0,0
164,Claudio Pistolesi,26,0,0,0,0
165,Kevin Ullyett,21,0,0,0,0
166,Jimmy Arias,29,0,0,0,0
167,Albert Chang,23,0,0,0,0
168,David Engel,26,0,0,0,0
169,Mario Visconti,25,0,0,0,0
170,Joao Cunha-Silva,26,0,0,0,0
171,Oliver Gross,20,0,0,0,0
172,Emilio Benfele Alvarez,21,0,0,0,0
173,Roberto Jabali,23,0,0,0,0
174,Eyal Ran,21,0,0,0,0
175,Chris Bailey,25,0,0,0,0
176,Daniel Nestor,21,0,0,0,0
177,Oliver Fernandez,21,0,0,0,0
178,Sandon Stolle,23,0,0,0,0
179,Bart Wuyts,24,0,0,0,0
180,Juan Gisbert Jr,19,0,0,0,0
181,Lars Rehmann,18,0,0,0,0
182,Danilo Marcelino,28,0,0,0,0
183,Markus Naewie,24,0,0,0,0
184,Tim Henman,19,0,0,0,0
185,Thomas Gollwitzer,27,0,0,0,0
186,Gaston Etlis,19,0,0,0,0
187,Martin Blackman,24,0,0,0,0
188,Filip Dewulf,22,0,0,0,0
189,David Witt,20,0,0,0,0
190,Roger Smith,30,0,0,0,0
191,Lionel Barthez,26,0,0,0,0
192,Michael Tebbutt,23,0,0,0,0
193,Paul Kilderry,20,0,0,0,0
194,Louis Gloria,24,0,0,0,0
195,Michael Geserer,24,0,0,0,0
196,Francisco Roig,26,0,0,0,0
197,Davide Sanguinetti,21,0,0,0,0
198,Jozsef Krocsko,25,0,0,0,0
199,Massimo Valeri,22,0,0,0,0
200,Paul Wekesa,26,0,0,0,0
201,Laurence Tieleman,21,0,0,0,0
202,Nuno Marques,24,0,0,0,0
203,Thierry Guardiola,22,0,0,0,0
204,Peter Tramacchi,23,0,0,0,0
205,Johan Van Herck,19,0,0,0,0
206,Paolo Cane,29,0,0,0,0
207,Christian Miniussi,26,0,0,0,0
208,Andrei Merinov,22,0,0,0,0
209,Jose-Luis Noriega,24,0,0,0,0
210,David Adams,24,0,0,0,0
211,Libor Nemecek,25,0,0,0,0
212,Kenny Thorne,28,0,0,0,0
213,Hernan Gumy,22,0,0,0,0
214,Mats Wilander,29,0,0,0,0
215,Alberto Mancini,24,0,0,0,0
216,Arne Thoms,23,0,0,0,0
217,Sandor Noszaly,22,0,0,0,0
218,Marcos Aurelio Gorriz,30,0,0,0,0
219,Darren Cahill,28,0,0,0,0
220,Mark Kaplan,26,0,0,0,0
221,Thierry Champion,27,0,0,0,0
222,Alejo Mancisidor,23,0,0,0,0
223,Christer Allgardh,27,0,0,0,0
224,Andrew Foster,22,0,0,0,0
225,Mario Rincon,26,0,0,0,0
226,Miguel Pastura,20,0,0,0,0
227,Frederic Fontang,24,0,0,0,0
228,Todd Nelson,33,0,0,0,0
229,Martin Stringari,22,0,0,0,0
230,Joshua Eagle,20,0,0,0,0
231,Oscar Martinez,20,0,0,0,0
232,Alex Radulescu,19,0,0,0,0
233,Patrick Baur,28,0,0,0,0
234,Brian MacPhie,21,0,0,0,0
