Ranking,Player,Age,Points,Tourn_Played,Points_Dropping,Next_Best
1,Stefan Edberg,25,0,0,0,0
2,Boris Becker,23,0,0,0,0
3,Ivan Lendl,30,0,0,0,0
4,Andre Agassi,20,0,0,0,0
5,Guy Forget,26,0,0,0,0
6,Pete Sampras,19,0,0,0,0
7,Goran Ivanisevic,19,0,0,0,0
8,Brad Gilbert,29,0,0,0,0
9,Thomas Muster,23,0,0,0,0
10,Emilio Sanchez,25,0,0,0,0
11,Andres Gomez,30,0,0,0,0
12,Jonas Svensson,24,0,0,0,0
13,Andrei Chesnokov,25,0,0,0,0
14,Michael Chang,19,0,0,0,0
15,Andrei Cherkasov,20,0,0,0,0
16,Guillermo Perez-Roldan,21,0,0,0,0
17,Jakob Hlasek,26,0,0,0,0
18,Michael Stich,22,0,0,0,0
19,John McEnroe,32,0,0,0,0
20,Alexander Volkov,23,0,0,0,0
21,Marc Rosset,20,0,0,0,0
22,Juan Aguilera,28,0,0,0,0
23,Aaron Krickstein,23,0,0,0,0
24,Jay Berger,24,0,0,0,0
25,Jim Courier,20,0,0,0,0
26,Karel Novacek,25,0,0,0,0
27,Sergi Bruguera,20,0,0,0,0
28,Richard Fromberg,20,0,0,0,0
29,Ronald Agenor,26,0,0,0,0
30,Henri Leconte,27,0,0,0,0
31,Horst Skoff,22,0,0,0,0
32,Darren Cahill,25,0,0,0,0
33,Derrick Rostagno,25,0,0,0,0
34,Franco Davin,21,0,0,0,0
35,Richey Reneberg,25,0,0,0,0
36,Magnus Gustafsson,24,0,0,0,0
37,Nicklas Kulti,19,0,0,0,0
38,Amos Mansdorf,25,0,0,0,0
39,Goran Prpic,26,0,0,0,0
40,Cristiano Caratti,20,0,0,0,0
41,Martin Jaite,26,0,0,0,0
42,Omar Camporese,22,0,0,0,0
43,Mark Koevermans,23,0,0,0,0
44,David Wheaton,21,0,0,0,0
45,Jordi Arrese,26,0,0,0,0
46,Todd Woodbridge,19,0,0,0,0
47,Wally Masur,27,0,0,0,0
48,Luiz Mattar,27,0,0,0,0
49,Magnus Larsson,20,0,0,0,0
50,Marcelo Filippini,23,0,0,0,0
51,Patrick McEnroe,24,0,0,0,0
52,Pat Cash,25,0,0,0,0
53,Jan Siemerink,20,0,0,0,0
54,Gary Muller,26,0,0,0,0
55,Christian Bergstrom,23,0,0,0,0
56,Fabrice Santoro,18,0,0,0,0
57,Jean-Philippe Fleurian,25,0,0,0,0
58,Kevin Curren,32,0,0,0,0
59,Mats Wilander,26,0,0,0,0
60,Anders Jarryd,29,0,0,0,0
61,Eric Jelen,25,0,0,0,0
62,Paul Haarhuis,25,0,0,0,0
63,Horacio De La Pena,24,0,0,0,0
64,Scott Davis,28,0,0,0,0
65,Jaime Yzaga,23,0,0,0,0
66,Thierry Champion,24,0,0,0,0
67,Alex Antonitsch,25,0,0,0,0
68,Peter Lundgren,26,0,0,0,0
69,Jimmy Arias,26,0,0,0,0
70,Christo Van Rensburg,28,0,0,0,0
71,Marian Vajda,25,0,0,0,0
72,Tomas Carbonell,22,0,0,0,0
73,Javier Sanchez,23,0,0,0,0
74,Petr Korda,23,0,0,0,0
75,Gilad Bloom,23,0,0,0,0
76,Jim Grabb,26,0,0,0,0
77,Renzo Furlan,20,0,0,0,0
78,Todd Witsken,27,0,0,0,0
79,Brad Pearce,24,0,0,0,0
80,Carl-Uwe Steeb,23,0,0,0,0
81,Aki Rahunen,19,0,0,0,0
82,Lars Jonsson,20,0,0,0,0
83,Patrik Kuhnen,25,0,0,0,0
84,David Pate,28,0,0,0,0
85,MaliVai Washington,21,0,0,0,0
86,Alexander Mronz,25,0,0,0,0
87,Guillaume Raoux,21,0,0,0,0
88,Jan Gunnarsson,28,0,0,0,0
89,Mark Woodforde,25,0,0,0,0
90,Veli Paloheimo,23,0,0,0,0
91,Ramesh Krishnan,29,0,0,0,0
92,Francisco Clavet,22,0,0,0,0
93,Grant Connell,25,0,0,0,0
94,Richard Krajicek,19,0,0,0,0
95,Patrick Baur,25,0,0,0,0
96,Robbie Weiss,24,0,0,0,0
97,Jaime Oncins,20,0,0,0,0
98,Luis Herrera,19,0,0,0,0
99,Dan Goldie,27,0,0,0,0
100,Jason Stoltenberg,20,0,0,0,0
101,Thomas Hogstedt,27,0,0,0,0
102,Udo Riglewski,24,0,0,0,0
103,Tim Mayotte,30,0,0,0,0
104,Brian Garrow,22,0,0,0,0
105,Martin Sinner,23,0,0,0,0
106,Nuno Marques,20,0,0,0,0
107,Tarik Benhabiles,26,0,0,0,0
108,Jacco Eltingh,20,0,0,0,0
109,Eduardo Masso,27,0,0,0,0
110,Roberto Azar,24,0,0,0,0
111,Shuzo Matsuoka,23,0,0,0,0
112,Jeff Tarango,22,0,0,0,0
113,Andrew Sznajder,23,0,0,0,0
114,Joao Cunha-Silva,23,0,0,0,0
115,Diego Nargiso,20,0,0,0,0
116,Mark Kratzmann,24,0,0,0,0
117,Fernando Luna,32,0,0,0,0
118,Jose Francisco Altur,22,0,0,0,0
119,David Engel,23,0,0,0,0
120,Milan Srejber,27,0,0,0,0
121,Kelly Evernden,29,0,0,0,0
122,Niclas Kroon,25,0,0,0,0
123,Bryan Shelton,25,0,0,0,0
124,Cassio Motta,31,0,0,0,0
125,Cedric Pioline,21,0,0,0,0
126,Claudio Pistolesi,23,0,0,0,0
127,Alberto Mancini,21,0,0,0,0
128,Pedro Rebolledo,30,0,0,0,0
129,Wayne Ferreira,19,0,0,0,0
130,Diego Perez,29,0,0,0,0
131,Francisco Roig,22,0,0,0,0
132,Henrik Holm,22,0,0,0,0
133,Rodolphe Gilbert,22,0,0,0,0
134,Slava Dosedel,20,0,0,0,0
135,Jim Pugh,27,0,0,0,0
136,Bart Wuyts,21,0,0,0,0
137,Michael Tauson,24,0,0,0,0
138,Christian Saceanu,22,0,0,0,0
139,Danilo Marcelino,24,0,0,0,0
140,Jens Woehrmann,23,0,0,0,0
141,Kelly Jones,26,0,0,0,0
142,Thierry Tulasne,27,0,0,0,0
143,Martin Strelba,23,0,0,0,0
144,Johan Anderson,19,0,0,0,0
145,Lawson Duncan,26,0,0,0,0
146,Chuck Adams,19,0,0,0,0
147,Martin Wostenholme,28,0,0,0,0
148,Chris Pridham,25,0,0,0,0
149,Carlos Costa,22,0,0,0,0
150,Chris Garner,21,0,0,0,0
151,Arnaud Boetsch,21,0,0,0,0
152,Glenn Layendecker,29,0,0,0,0
153,Stefano Pescosolido,19,0,0,0,0
154,Yannick Noah,30,0,0,0,0
155,Jeremy Bates,28,0,0,0,0
156,Gabriel Markus,20,0,0,0,0
157,Pablo Arraya,29,0,0,0,0
158,Marcos Aurelio Gorriz,26,0,0,0,0
159,Johan Carlsson,25,0,0,0,0
160,Dimitri Poliakov,23,0,0,0,0
161,Markus Zoecke,22,0,0,0,0
162,Christian Geyer,26,0,0,0,0
163,Andrei Olhovskiy,24,0,0,0,0
164,Michiel Schapers,31,0,0,0,0
165,Vaclav Roubicek,23,0,0,0,0
166,German Lopez,19,0,0,0,0
167,Nduka Odizor,32,0,0,0,0
168,Daniel Orsanic,22,0,0,0,0
169,Javier Frana,24,0,0,0,0
170,Jimmy Brown,25,0,0,0,0
171,Simon Youl,25,0,0,0,0
172,Bruno Oresar,23,0,0,0,0
173,Joey Rive,27,0,0,0,0
174,Paul Chamberlin,28,0,0,0,0
175,Jamie Morgan,19,0,0,0,0
176,Olivier Delaitre,23,0,0,0,0
177,Gianluca Pozzi,25,0,0,0,0
178,Fernando Roese,25,0,0,0,0
179,Tommy Ho,17,0,0,0,0
180,Raviv Weidenfeld,20,0,0,0,0
181,Leonardo Lavalle,23,0,0,0,0
182,Massimo Cierro,26,0,0,0,0
183,Martin Laurendeau,26,0,0,0,0
184,Jonathan Canter,25,0,0,0,0
185,Broderick Dyke,30,0,0,0,0
186,Paolo Cane,25,0,0,0,0
187,Branislav Stankovic,25,0,0,0,0
188,Mark Kaplan,23,0,0,0,0
189,Scott Melville,24,0,0,0,0
190,Pieter Aldrich,25,0,0,0,0
191,Jan Apell,21,0,0,0,0
192,Christian Miniussi,23,0,0,0,0
193,Danie Visser,29,0,0,0,0
194,Neil Borwick,23,0,0,0,0
195,Paolo Pambianco,23,0,0,0,0
196,Maurice Ruah,20,0,0,0,0
197,Stephane Grenier,23,0,0,0,0
198,Christian Weis,22,0,0,0,0
199,Jose Daher,24,0,0,0,0
200,Leif Shiras,31,0,0,0,0
201,Vladimir Gabrichidze,22,0,0,0,0
202,Shahar Perkiss,28,0,0,0,0
203,Karsten Braasch,23,0,0,0,0
204,Sandon Stolle,20,0,0,0,0
205,Tom Nijssen,26,0,0,0,0
206,Francisco Maciel,26,0,0,0,0
207,Marcelo Ingaramo,28,0,0,0,0
208,Scott Patridge,25,0,0,0,0
209,Pablo Albano,23,0,0,0,0
210,Peter Nyborg,21,0,0,0,0
211,Francisco Yunis,26,0,0,0,0
212,Frederic Fontang,20,0,0,0,0
213,Boris Laustroer,20,0,0,0,0
214,Jerome Potier,28,0,0,0,0
215,Roberto Arguello,27,0,0,0,0
216,Lars-Anders Wahlgren,24,0,0,0,0
217,Tomas Nydahl,22,0,0,0,0
218,Daniel Marco,25,0,0,0,0
219,Paul Vojtischek,27,0,0,0,0
220,Ken Flach,27,0,0,0,0
221,Mark Keil,23,0,0,0,0
222,Gilbert Schaller,21,0,0,0,0
223,Miguel Nido,27,0,0,0,0
224,Danny Sapsford,21,0,0,0,0
225,Vicente Solves,22,0,0,0,0
226,Carl Limberger,27,0,0,0,0
227,Mario Tabares,25,0,0,0,0
228,Jose Antonio Fernandez,26,0,0,0,0
229,Christer Allgardh,24,0,0,0,0
230,Paul Wekesa,23,0,0,0,0
231,Brett Steven,21,0,0,0,0
232,Francisco Montana,21,0,0,0,0
233,Mark Petchey,20,0,0,0,0
234,Marcos Ondruska,18,0,0,0,0
235,Ricki Osterthun,26,0,0,0,0
236,Felipe Rivera,19,0,0,0,0
237,Philip Johnson,26,0,0,0,0
238,Nick Brown,29,0,0,0,0
239,Richard Matuszewski,26,0,0,0,0
240,Eric Winogradsky,24,0,0,0,0
241,Paul Annacone,27,0,0,0,0
242,Nicolas Pereira,20,0,0,0,0
243,Oliver Fuchs,19,0,0,0,0
244,Andres Vysand,24,0,0,0,0
245,Grant Stafford,19,0,0,0,0
246,Simone Colombo,27,0,0,0,0
247,Jose-Luis Aparisi,21,0,0,0,0
248,Eduardo Bengoechea,31,0,0,0,0
249,Bernd Karbacher,22,0,0,0,0
250,David De Miguel,26,0,0,0,0
251,Federico Mordegan,21,0,0,0,0
252,Tomas Anzari,20,0,0,0,0
253,Felix Barrientos,23,0,0,0,0
