Ranking,Player,Age,Points,Tourn_Played,Points_Dropping,Next_Best
1,Pete Sampras,22,0,0,0,0
2,Goran Ivanisevic,22,0,0,0,0
3,Sergi Bruguera,23,0,0,0,0
4,Stefan Edberg,28,0,0,0,0
5,Michael Stich,25,0,0,0,0
6,Michael Chang,22,0,0,0,0
7,Andrei Medvedev,19,0,0,0,0
8,Todd Martin,24,0,0,0,0
9,Jim Courier,23,0,0,0,0
10,Alberto Berasategui,21,0,0,0,0
11,Boris Becker,26,0,0,0,0
12,Thomas Muster,26,0,0,0,0
13,Petr Korda,26,0,0,0,0
14,Yevgeny Kafelnikov,20,0,0,0,0
15,Andre Agassi,24,0,0,0,0
16,Wayne Ferreira,22,0,0,0,0
17,Magnus Gustafsson,27,0,0,0,0
18,Cedric Pioline,25,0,0,0,0
19,Marc Rosset,23,0,0,0,0
20,Carlos Costa,26,0,0,0,0
21,Patrick Rafter,21,0,0,0,0
22,Arnaud Boetsch,25,0,0,0,0
23,Andrea Gaudenzi,21,0,0,0,0
24,Jaime Yzaga,26,0,0,0,0
25,Richard Krajicek,22,0,0,0,0
26,Jason Stoltenberg,24,0,0,0,0
27,Alexander Volkov,27,0,0,0,0
28,Magnus Larsson,24,0,0,0,0
29,Paul Haarhuis,28,0,0,0,0
30,Javier Sanchez,26,0,0,0,0
31,Ivan Lendl,34,0,0,0,0
32,Slava Dosedel,23,0,0,0,0
33,Andrei Chesnokov,28,0,0,0,0
34,MaliVai Washington,25,0,0,0,0
35,Brad Gilbert,32,0,0,0,0
36,Aaron Krickstein,26,0,0,0,0
37,Gilbert Schaller,25,0,0,0,0
38,Thomas Enqvist,20,0,0,0,0
39,Renzo Furlan,24,0,0,0,0
40,Karsten Braasch,27,0,0,0,0
41,Richard Fromberg,24,0,0,0,0
42,Ronald Agenor,29,0,0,0,0
43,Daniel Vacek,23,0,0,0,0
44,Bernd Karbacher,26,0,0,0,0
45,Luiz Mattar,30,0,0,0,0
46,Stefano Pescosolido,23,0,0,0,0
47,Alex Corretja,20,0,0,0,0
48,Henrik Holm,25,0,0,0,0
49,Horst Skoff,25,0,0,0,0
50,Jonathan Stark,23,0,0,0,0
51,Karel Novacek,29,0,0,0,0
52,David Rikl,23,0,0,0,0
53,Mark Woodforde,28,0,0,0,0
54,Jacco Eltingh,23,0,0,0,0
55,Byron Black,24,0,0,0,0
56,Jared Palmer,23,0,0,0,0
57,Jakob Hlasek,29,0,0,0,0
58,Martin Damm,21,0,0,0,0
59,Richey Reneberg,28,0,0,0,0
60,Chuck Adams,23,0,0,0,0
61,Greg Rusedski,20,0,0,0,0
